schedule	Period	Subject	Rank
schedule	1	1	1
schedule	1	2	4
schedule	1	3	5
schedule	1	4	2
schedule	1	5	3
schedule	1	6	6
schedule	2	1	4
schedule	2	2	5
schedule	2	3	1
schedule	2	4	3
schedule	2	5	6
schedule	2	6	2
schedule	3	1	4
schedule	3	2	1
schedule	3	3	2
schedule	3	4	5
schedule	3	5	6
schedule	3	6	3
schedule	4	1	4
schedule	4	2	5
schedule	4	3	1
schedule	4	4	6
schedule	4	5	3
schedule	4	6	2
schedule	5	1	1
schedule	5	2	3
schedule	5	3	2
schedule	5	4	6
schedule	5	5	5
schedule	5	6	4
schedule	6	1	4
schedule	6	2	3
schedule	6	3	6
schedule	6	4	5
schedule	6	5	1
schedule	6	6	2
schedule	7	1	4
schedule	7	2	1
schedule	7	3	5
schedule	7	4	2
schedule	7	5	6
schedule	7	6	3
schedule	8	1	4
schedule	8	2	6
schedule	8	3	2
schedule	8	4	3
schedule	8	5	5
schedule	8	6	1
schedule	9	1	1
schedule	9	2	6
schedule	9	3	5
schedule	9	4	3
schedule	9	5	2
schedule	9	6	4
schedule	10	1	4
schedule	10	2	1
schedule	10	3	5
schedule	10	4	2
schedule	10	5	3
schedule	10	6	6
schedule	11	1	1
schedule	11	2	3
schedule	11	3	5
schedule	11	4	6
schedule	11	5	2
schedule	11	6	4
schedule	12	1	1
schedule	12	2	5
schedule	12	3	4
schedule	12	4	3
schedule	12	5	6
schedule	12	6	2
schedule	13	1	4
schedule	13	2	2
schedule	13	3	3
schedule	13	4	1
schedule	13	5	5
schedule	13	6	6
schedule	14	1	1
schedule	14	2	6
schedule	14	3	3
schedule	14	4	5
schedule	14	5	4
schedule	14	6	2
schedule	15	1	1
schedule	15	2	5
schedule	15	3	3
schedule	15	4	4
schedule	15	5	2
schedule	15	6	6
schedule	16	1	1
schedule	16	2	5
schedule	16	3	4
schedule	16	4	6
schedule	16	5	3
schedule	16	6	2
schedule	17	1	1
schedule	17	2	5
schedule	17	3	3
schedule	17	4	4
schedule	17	5	2
schedule	17	6	6
schedule	18	1	1
schedule	18	2	3
schedule	18	3	6
schedule	18	4	5
schedule	18	5	4
schedule	18	6	2
schedule	19	1	4
schedule	19	2	6
schedule	19	3	3
schedule	19	4	5
schedule	19	5	1
schedule	19	6	2
schedule	20	1	1
schedule	20	2	5
schedule	20	3	3
schedule	20	4	4
schedule	20	5	2
schedule	20	6	6
schedule	21	1	4
schedule	21	2	6
schedule	21	3	3
schedule	21	4	5
schedule	21	5	1
schedule	21	6	2
schedule	22	1	4
schedule	22	2	5
schedule	22	3	6
schedule	22	4	1
schedule	22	5	2
schedule	22	6	3
schedule	23	1	4
schedule	23	2	3
schedule	23	3	5
schedule	23	4	6
schedule	23	5	2
schedule	23	6	1
schedule	24	1	4
schedule	24	2	1
schedule	24	3	2
schedule	24	4	5
schedule	24	5	3
schedule	24	6	6
schedule	25	1	1
schedule	25	2	2
schedule	25	3	4
schedule	25	4	3
schedule	25	5	6
schedule	25	6	5
schedule	26	1	4
schedule	26	2	2
schedule	26	3	1
schedule	26	4	6
schedule	26	5	3
schedule	26	6	5
schedule	27	1	4
schedule	27	2	3
schedule	27	3	5
schedule	27	4	6
schedule	27	5	2
schedule	27	6	1
schedule	28	1	4
schedule	28	2	3
schedule	28	3	5
schedule	28	4	6
schedule	28	5	2
schedule	28	6	1
schedule	29	1	4
schedule	29	2	3
schedule	29	3	6
schedule	29	4	5
schedule	29	5	1
schedule	29	6	2
schedule	30	1	4
schedule	30	2	3
schedule	30	3	6
schedule	30	4	2
schedule	30	5	1
schedule	30	6	5
schedule	31	1	1
schedule	31	2	6
schedule	31	3	3
schedule	31	4	5
schedule	31	5	4
schedule	31	6	2
schedule	32	1	1
schedule	32	2	5
schedule	32	3	4
schedule	32	4	3
schedule	32	5	6
schedule	32	6	2
schedule	33	1	1
schedule	33	2	2
schedule	33	3	4
schedule	33	4	6
schedule	33	5	3
schedule	33	6	5
schedule	34	1	1
schedule	34	2	6
schedule	34	3	2
schedule	34	4	3
schedule	34	5	5
schedule	34	6	4
schedule	35	1	4
schedule	35	2	2
schedule	35	3	3
schedule	35	4	1
schedule	35	5	5
schedule	35	6	6
schedule	36	1	1
schedule	36	2	2
schedule	36	3	6
schedule	36	4	4
schedule	36	5	5
schedule	36	6	3
schedule	37	1	1
schedule	37	2	5
schedule	37	3	6
schedule	37	4	4
schedule	37	5	2
schedule	37	6	3
schedule	38	1	4
schedule	38	2	3
schedule	38	3	6
schedule	38	4	2
schedule	38	5	1
schedule	38	6	5
schedule	39	1	1
schedule	39	2	6
schedule	39	3	2
schedule	39	4	3
schedule	39	5	5
schedule	39	6	4
schedule	40	1	1
schedule	40	2	4
schedule	40	3	5
schedule	40	4	2
schedule	40	5	6
schedule	40	6	3
schedule	41	1	4
schedule	41	2	1
schedule	41	3	5
schedule	41	4	2
schedule	41	5	6
schedule	41	6	3
schedule	42	1	1
schedule	42	2	2
schedule	42	3	4
schedule	42	4	3
schedule	42	5	6
schedule	42	6	5
schedule	43	1	1
schedule	43	2	4
schedule	43	3	2
schedule	43	4	5
schedule	43	5	6
schedule	43	6	3
schedule	44	1	1
schedule	44	2	4
schedule	44	3	2
schedule	44	4	5
schedule	44	5	6
schedule	44	6	3
schedule	45	1	4
schedule	45	2	1
schedule	45	3	5
schedule	45	4	2
schedule	45	5	3
schedule	45	6	6
schedule	46	1	4
schedule	46	2	6
schedule	46	3	2
schedule	46	4	3
schedule	46	5	5
schedule	46	6	1
schedule	47	1	1
schedule	47	2	2
schedule	47	3	4
schedule	47	4	6
schedule	47	5	3
schedule	47	6	5
schedule	48	1	4
schedule	48	2	3
schedule	48	3	6
schedule	48	4	2
schedule	48	5	1
schedule	48	6	5
schedule	49	1	1
schedule	49	2	5
schedule	49	3	6
schedule	49	4	4
schedule	49	5	2
schedule	49	6	3
schedule	50	1	4
schedule	50	2	5
schedule	50	3	6
schedule	50	4	1
schedule	50	5	2
schedule	50	6	3
schedule	51	1	1
schedule	51	2	4
schedule	51	3	5
schedule	51	4	2
schedule	51	5	3
schedule	51	6	6
schedule	52	1	1
schedule	52	2	3
schedule	52	3	6
schedule	52	4	5
schedule	52	5	4
schedule	52	6	2
schedule	53	1	4
schedule	53	2	5
schedule	53	3	1
schedule	53	4	6
schedule	53	5	3
schedule	53	6	2
schedule	54	1	4
schedule	54	2	3
schedule	54	3	6
schedule	54	4	5
schedule	54	5	1
schedule	54	6	2
schedule	55	1	4
schedule	55	2	1
schedule	55	3	2
schedule	55	4	5
schedule	55	5	3
schedule	55	6	6
schedule	56	1	4
schedule	56	2	5
schedule	56	3	1
schedule	56	4	3
